8568,Very High,0.01,2.84,0.93,1950,Priyanka,Express Air
7327,Not Specified,0.01,2.84,0.93,1626,Ganesh,Express Air
7999,Critical,0.02,500.98,26,1954,Divya,Delivery Truck
5733,Medium,0.06,9.48,7.29,1279,Ramya,Regular Air
5070,Medium,0.09,78.69,19.99,1420,neeraj,Regular Air
8346,Medium,0.08,3.28,2.31,1207,Anil,Regular Air
6540,Medium,0.05,3.28,4.2,1592,Krishna,Regular Air
5037,Critical,0.05,3.58,1.63,1154,Kural,Regular Air
6256,Medium,0,4.42,4.99,1233,Priyanka,Regular Air
7039,Very High,0.01,35.94,6.66,1551,Rakshitha,Regular Air
7612,Very High,0.04,2.98,1.58,1759,Tirupathi,Regular Air
5149,Not Specified,0.05,115.99,2.5,1993,Nitin,Regular Air
7045,Critical,0.05,26.48,6.93,1551,Neha,Regular Air
7137,Medium,0.07,12.99,9.44,1026,Rajesh,Regular Air
8173,Medium,0.05,26.48,6.93,1295,Kumar,Regular Air
8547,Medium,0.08,5,3.39,1182,Susan,Regular Air
5109,Medium,0.07,12.99,9.44,1358,Sai Kumar,Regular Air
5518,Critical,0.06,55.48,14.3,1101,Aziz,Regular Air
7252,Medium,0.02,1.68,1.57,1090,Priyanka,Regular Air
8453,Very High,0.04,4.14,6.6,1547,Ganesh,Regular Air
8607,Very High,0.08,34.99,7.73,1543,Divya,Regular Air
5715,Not Specified,0.01,17.98,8.51,1180,Ramya,Regular Air
6148,Critical,0.09,125.99,7.69,1175,neeraj,Express Air
6335,Medium,0.06,205.99,8.99,1833,Anil,Regular Air
6066,Medium,0.03,4.24,5.41,1498,Krishna,Regular Air
6697,Medium,0.04,2.94,0.7,1835,Kural,Regular Air
6565,Medium,0,99.99,19.99,1837,Priyanka,Regular Air
6783,Critical,0,115.99,2.5,1274,Rakshitha,Regular Air
5407,Medium,0.07,3502.14,8.73,1204,Tirupathi,Delivery Truck
6803,Very High,0.02,5.98,5.79,1456,Nitin,Regular Air
6210,Very High,0.06,3.8,1.49,1987,Neha,Regular Air
7170,Not Specified,0.06,1.76,0.7,1580,Rajesh,Regular Air
5534,Critical,0.02,5.98,5.15,1866,Kumar,Regular Air
8747,Medium,0.04,29.14,4.86,1808,Susan,Regular Air
6216,Medium,0,3.69,0.5,1226,Sai Kumar,Regular Air
6271,Medium,0.02,175.99,4.99,1506,Aziz,Express Air
8519,Medium,0.05,155.06,7.07,1061,Priyanka,Regular Air
5127,Critical,0,291.73,48.8,1871,Ganesh,Delivery Truck
6943,Medium,0.07,100.98,45,1238,Divya,Delivery Truck
5509,Very High,0.05,155.06,7.07,1764,Ramya,Regular Air
7817,Very High,0.09,122.99,70.2,1136,neeraj,Delivery Truck
5235,Not Specified,0.09,122.99,70.2,1744,Anil,Delivery Truck
5388,Critical,0.04,296.18,54.12,1377,Krishna,Delivery Truck
6292,Medium,0,8.09,7.96,1575,Kural,Regular Air
6997,Medium,0.08,896.99,19.99,1783,Priyanka,Regular Air
6295,Medium,0.05,161.55,19.99,1025,Rakshitha,Regular Air
5118,Medium,0.09,4.91,0.5,1800,Tirupathi,Regular Air
7709,Critical,0.01,296.18,54.12,1786,Nitin,Delivery Truck
7924,Medium,0.07,19.84,4.1,1726,Neha,Regular Air
5603,Very High,0.05,5.18,2.04,1650,Rajesh,Regular Air
5660,Very High,0.06,175.99,8.99,1987,Kumar,Regular Air
8479,Not Specified,0.07,8.34,1.43,1119,Susan,Regular Air
8287,Critical,0.09,4.98,6.07,1108,Sai Kumar,Regular Air
5667,Medium,0.04,12.98,3.14,1718,Aziz,Express Air
8314,Medium,0.04,160.98,30,1688,Priyanka,Delivery Truck
7162,Medium,0.01,17.98,4,1697,Ganesh,Regular Air
5167,Medium,0.04,160.98,30,1895,Divya,Delivery Truck
7223,Critical,0.06,115.99,8.99,1819,Ramya,Regular Air
7096,Medium,0.1,19.98,4,1681,neeraj,Regular Air
7764,Very High,0.04,300.98,54.92,1877,Anil,Delivery Truck
5535,Very High,0.1,19.98,4,1824,Krishna,Regular Air
8105,Not Specified,0.09,2.88,1.49,1246,Kural,Regular Air
8315,Critical,0.04,300.98,54.92,1059,Priyanka,Delivery Truck
7078,Medium,0.09,2.88,1.49,1929,Rakshitha,Regular Air
5205,Medium,0.03,4.26,1.2,1674,Tirupathi,Regular Air
5837,Medium,0.01,4.91,0.5,1733,Nitin,Regular Air
8039,Medium,0.09,4,1.3,1308,Neha,Express Air
6815,Critical,0.07,2.12,1.99,1298,Rajesh,Regular Air
8760,Medium,0.03,4.26,1.2,1288,Kumar,Regular Air
5853,Very High,0.01,4.91,0.5,1759,Susan,Regular Air
5884,Very High,0.09,4,1.3,1034,Sai Kumar,Express Air
5001,Not Specified,0.07,2.12,1.99,1917,Aziz,Regular Air
6336,Critical,0.05,6.3,0.5,1076,Priyanka,Regular Air
6053,Medium,0.09,205.99,3,1589,Ganesh,Express Air
5239,Medium,0.06,8.57,6.14,1748,Divya,Regular Air
7273,Medium,0.02,1.74,4.08,1372,Ramya,Regular Air
8873,Medium,0.07,15.74,1.39,1221,neeraj,Regular Air
5507,Critical,0.04,18.97,9.54,1956,Anil,Regular Air
